"sex","age","edu","arear","party_kmt","party_dpp","party_tpp","n_teds","n_teds_wt","N_target"
"女性","60歲及以上","高中職及以下","北北基宜蘭區","5 中間","0-4 冷淡","5 中間",3,2.45455590185924,2.45455590185921
"女性","60歲及以上","高中職及以下","北北基宜蘭區","5 中間","5 中間","0-4 冷淡",11,9.73853332065961,9.73853332065948
"女性","60歲及以上","高中職及以下","北北基宜蘭區","5 中間","5 中間","5 中間",9,7.99010201278436,7.99010201278425
"女性","60歲及以上","高中職及以下","北北基宜蘭區","5 中間","6-10 溫暖","0-4 冷淡",4,3.56299338977835,3.5629933897783
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","0-4 冷淡","0-4 冷淡",15,13.4135874170737,13.4135874170735
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","0-4 冷淡","5 中間",9,7.95703662577043,7.95703662577033
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","0-4 冷淡","6-10 溫暖",5,4.34811330338417,4.34811330338411
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","5 中間","0-4 冷淡",2,1.86049201451101,1.86049201451098
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","5 中間","5 中間",2,1.78149669488917,1.78149669488915
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","5 中間","6-10 溫暖",1,0.818185300619748,0.818185300619737
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","6-10 溫暖","0-4 冷淡",3,2.82380340878043,2.8238034087804
"女性","60歲及以上","高中職及以下","北北基宜蘭區","6-10 溫暖","6-10 溫暖","5 中間",4,3.56299338977835,3.5629933897783
"女性","60歲及以上","高中職及以下","桃竹苗區","0-4 冷淡","5 中間","0-4 冷淡",1,0.906912711382679,0.906912711382667
"女性","60歲及以上","高中職及以下","桃竹苗區","0-4 冷淡","6-10 溫暖","0-4 冷淡",9,7.6589375187644,7.65893751876429
"女性","60歲及以上","高中職及以下","桃竹苗區","0-4 冷淡","6-10 溫暖","5 中間",1,0.906912711382679,0.906912711382667
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","0-4 冷淡","0-4 冷淡",2,1.54056653707757,1.54056653707755
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","0-4 冷淡","5 中間",2,1.54056653707757,1.54056653707755
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","5 中間","0-4 冷淡",7,5.87624161438172,5.87624161438164
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","5 中間","5 中間",7,5.87624161438172,5.87624161438164
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","5 中間","6-10 溫暖",1,0.906912711382679,0.906912711382667
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","6-10 溫暖","0-4 冷淡",5,4.19904563446025,4.19904563446019
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","6-10 溫暖","5 中間",1,0.770283268538786,0.770283268538776
"女性","60歲及以上","高中職及以下","桃竹苗區","5 中間","6-10 溫暖","6-10 溫暖",1,0.770283268538786,0.770283268538776
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","0-4 冷淡","0-4 冷淡",9,7.41680815145929,7.41680815145919
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","0-4 冷淡","5 中間",5,4.09354570999904,4.09354570999898
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","0-4 冷淡","6-10 溫暖",3,2.41634973007757,2.41634973007754
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","5 中間","0-4 冷淡",3,2.41634973007757,2.41634973007754
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","5 中間","5 中間",1,0.906912711382679,0.906912711382667
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","5 中間","6-10 溫暖",2,1.67719597992147,1.67719597992144
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","6-10 溫暖","5 中間",1,0.875783193,0.875783192999988
"女性","60歲及以上","高中職及以下","桃竹苗區","6-10 溫暖","6-10 溫暖","6-10 溫暖",3,2.55297917292146,2.55297917292143
"女性","60歲及以上","高中職及以下","花東區","0-4 冷淡","6-10 溫暖","0-4 冷淡",1,0.762899310429278,0.762899310429268
"女性","60歲及以上","高中職及以下","花東區","5 中間","6-10 溫暖","0-4 冷淡",1,0.736713010649102,0.736713010649092
"女性","60歲及以上","高中職及以下","花東區","6-10 溫暖","0-4 冷淡","0-4 冷淡",2,1.38467898028197,1.38467898028195
"女性","60歲及以上","高中職及以下","花東區","6-10 溫暖","0-4 冷淡","5 中間",1,0.647965969632867,0.647965969632858
"女性","60歲及以上","高中職及以下","花東區","6-10 溫暖","0-4 冷淡","6-10 溫暖",1,0.736713010649102,0.736713010649092
"女性","60歲及以上","高中職及以下","花東區","6-10 溫暖","5 中間","0-4 冷淡",1,0.762899310429278,0.762899310429268
"女性","60歲及以上","高中職及以下","雲嘉南區","0-4 冷淡","0-4 冷淡","0-4 冷淡",3,2.36324894145073,2.3632489414507
"女性","60歲及以上","高中職及以下","雲嘉南區","0-4 冷淡","5 中間","0-4 冷淡",6,4.88370637691277,4.88370637691271
"女性","60歲及以上","高中職及以下","雲嘉南區","0-4 冷淡","5 中間","5 中間",1,0.820704636225367,0.820704636225356
"女性","60歲及以上","高中職及以下","雲嘉南區","0-4 冷淡","6-10 溫暖","0-4 冷淡",20,15.9959335015129,15.9959335015127
"女性","60歲及以上","高中職及以下","雲嘉南區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,0.820704636225367,0.820704636225356
"女性","60歲及以上","高中職及以下","雲嘉南區","5 中間","0-4 冷淡","0-4 冷淡",3,2.26438397422537,2.26438397422534
"女性","60歲及以上","高中職及以下","雲嘉南區","5 中間","5 中間","0-4 冷淡",7,5.3494725846761,5.34947258467602
"女性","60歲及以上","高中職及以下","雲嘉南區","5 中間","5 中間","5 中間",7,5.73358277653111,5.73358277653103
"女性","60歲及以上","高中職及以下","雲嘉南區","5 中間","6-10 溫暖","0-4 冷淡",3,2.49128567206907,2.49128567206904
"女性","60歲及以上","高中職及以下","雲嘉南區","5 中間","6-10 溫暖","5 中間",1,0.849876399618336,0.849876399618325
"女性","60歲及以上","高中職及以下","雲嘉南區","6-10 溫暖","0-4 冷淡","0-4 冷淡",6,4.5579397118437,4.55793971184364
"女性","60歲及以上","高中職及以下","雲嘉南區","6-10 溫暖","0-4 冷淡","5 中間",4,3.21312534106907,3.21312534106903
"女性","60歲及以上","高中職及以下","雲嘉南區","6-10 溫暖","5 中間","5 中間",1,0.721839669,0.72183966899999
"女性","60歲及以上","高中職及以下","雲嘉南區","6-10 溫暖","6-10 溫暖","5 中間",1,0.849876399618336,0.849876399618325
"女性","60歲及以上","高中職及以下","雲嘉南區","6-10 溫暖","6-10 溫暖","6-10 溫暖",4,3.34116207168741,3.34116207168736
"女性","60歲及以上","高中職及以下","高屏區","0-4 冷淡","0-4 冷淡","0-4 冷淡",4,4.74364357856062,4.74364357856056
"女性","60歲及以上","高中職及以下","高屏區","0-4 冷淡","5 中間","0-4 冷淡",1,1.03386477300447,1.03386477300446
"女性","60歲及以上","高中職及以下","高屏區","0-4 冷淡","6-10 溫暖","0-4 冷淡",24,27.3708374738488,27.3708374738484
"女性","60歲及以上","高中職及以下","高屏區","0-4 冷淡","6-10 溫暖","5 中間",1,1.17546548000928,1.17546548000926
"女性","60歲及以上","高中職及以下","高屏區","5 中間","0-4 冷淡","0-4 冷淡",2,2.25111191153726,2.25111191153723
"女性","60歲及以上","高中職及以下","高屏區","5 中間","0-4 冷淡","6-10 溫暖",1,1.03386477300447,1.03386477300446
"女性","60歲及以上","高中職及以下","高屏區","5 中間","5 中間","5 中間",6,7.03653714862139,7.0365371486213
"女性","60歲及以上","高中職及以下","高屏區","5 中間","5 中間","6-10 溫暖",1,1.21724713853279,1.21724713853277
"女性","60歲及以上","高中職及以下","高屏區","5 中間","6-10 溫暖","0-4 冷淡",5,5.59412598603678,5.5941259860367
"女性","60歲及以上","高中職及以下","高屏區","5 中間","6-10 溫暖","5 中間",1,1.21724713853279,1.21724713853277
"女性","60歲及以上","高中職及以下","高屏區","6-10 溫暖","0-4 冷淡","0-4 冷淡",1,1.17546548000928,1.17546548000926
"女性","60歲及以上","高中職及以下","高屏區","6-10 溫暖","0-4 冷淡","5 中間",1,1.03386477300447,1.03386477300446
"女性","60歲及以上","高中職及以下","高屏區","6-10 溫暖","0-4 冷淡","6-10 溫暖",1,1.21724713853279,1.21724713853277
"女性","60歲及以上","高中職及以下","高屏區","6-10 溫暖","6-10 溫暖","0-4 冷淡",2,2.43449427706558,2.43449427706555
"女性","60歲及以上","高中職及以下","高屏區","6-10 溫暖","6-10 溫暖","5 中間",2,2.20933025301375,2.20933025301372
"女性","60歲及以上","高中職及以下","高屏區","6-10 溫暖","6-10 溫暖","6-10 溫暖",1,1.03386477300447,1.03386477300446
"男性","20至29歲","專科及以上","中彰投區","0-4 冷淡","0-4 冷淡","0-4 冷淡",3,4.30743374242008,4.30743374242002
"男性","20至29歲","專科及以上","中彰投區","0-4 冷淡","0-4 冷淡","5 中間",3,4.30743374242008,4.30743374242002
"男性","20至29歲","專科及以上","中彰投區","0-4 冷淡","0-4 冷淡","6-10 溫暖",1,1.43581124747336,1.43581124747334
"男性","20至29歲","專科及以上","中彰投區","0-4 冷淡","5 中間","0-4 冷淡",1,1.55397756157125,1.55397756157123
"男性","20至29歲","專科及以上","中彰投區","0-4 冷淡","6-10 溫暖","0-4 冷淡",2,2.87162249494672,2.87162249494668
"男性","20至29歲","專科及以上","中彰投區","0-4 冷淡","6-10 溫暖","5 中間",1,1.43581124747336,1.43581124747334
"男性","20至29歲","專科及以上","中彰投區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.43581124747336,1.43581124747334
"男性","20至29歲","專科及以上","中彰投區","5 中間","0-4 冷淡","5 中間",2,2.98978880904461,2.98978880904457
"男性","20至29歲","專科及以上","中彰投區","5 中間","0-4 冷淡","6-10 溫暖",1,1.43581124747336,1.43581124747334
"男性","20至29歲","專科及以上","中彰投區","5 中間","5 中間","5 中間",7,10.0506787323135,10.0506787323134
"男性","20至29歲","專科及以上","中彰投區","6-10 溫暖","0-4 冷淡","6-10 溫暖",3,4.42560005651797,4.42560005651791
"男性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","0-4 冷淡",2,2.80445261530384,2.8044526153038
"男性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","5 中間",2,2.80445261530384,2.8044526153038
"男性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","6-10 溫暖",3,4.20667892295576,4.2066789229557
"男性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","5 中間","6-10 溫暖",1,1.40222630765192,1.4022263076519
"男性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","6-10 溫暖","0-4 冷淡",4,5.60890523060768,5.6089052306076
"男性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.40222630765192,1.4022263076519
"男性","20至29歲","專科及以上","北北基宜蘭區","5 中間","0-4 冷淡","0-4 冷淡",1,1.40222630765192,1.4022263076519
"男性","20至29歲","專科及以上","北北基宜蘭區","5 中間","0-4 冷淡","5 中間",3,4.20667892295576,4.2066789229557
"男性","20至29歲","專科及以上","北北基宜蘭區","5 中間","0-4 冷淡","6-10 溫暖",2,2.80445261530384,2.8044526153038
"男性","20至29歲","專科及以上","北北基宜蘭區","5 中間","5 中間","5 中間",2,2.80445261530384,2.8044526153038
"男性","20至29歲","專科及以上","北北基宜蘭區","5 中間","5 中間","6-10 溫暖",1,1.40222630765192,1.4022263076519
"男性","20至29歲","專科及以上","北北基宜蘭區","5 中間","6-10 溫暖","5 中間",1,1.40222630765192,1.4022263076519
"男性","20至29歲","專科及以上","北北基宜蘭區","6-10 溫暖","0-4 冷淡","0-4 冷淡",1,1.40222630765192,1.4022263076519
"男性","20至29歲","專科及以上","北北基宜蘭區","6-10 溫暖","0-4 冷淡","6-10 溫暖",4,5.60890523060767,5.60890523060759
"男性","20至29歲","專科及以上","北北基宜蘭區","6-10 溫暖","6-10 溫暖","6-10 溫暖",1,1.40222630765192,1.4022263076519
"男性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","0-4 冷淡","0-4 冷淡",7,9.24091429985031,9.24091429985019
"男性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","0-4 冷淡","6-10 溫暖",1,1.32013061426433,1.32013061426431
"男性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","5 中間","0-4 冷淡",2,2.64026122852866,2.64026122852862
"男性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","6-10 溫暖","0-4 冷淡",1,1.32013061426433,1.32013061426431
"男性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","6-10 溫暖","5 中間",2,2.64026122852866,2.64026122852862
"男性","20至29歲","專科及以上","桃竹苗區","5 中間","0-4 冷淡","6-10 溫暖",1,1.32013061426433,1.32013061426431
"男性","20至29歲","專科及以上","桃竹苗區","5 中間","5 中間","0-4 冷淡",1,1.32013061426433,1.32013061426431
"男性","20至29歲","專科及以上","桃竹苗區","5 中間","5 中間","5 中間",3,3.96039184279298,3.96039184279293
"男性","20至29歲","專科及以上","桃竹苗區","6-10 溫暖","0-4 冷淡","6-10 溫暖",3,4.06903771744392,4.06903771744386
"男性","20至29歲","專科及以上","花東區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.11050018668651,1.1105001866865
"男性","20至29歲","專科及以上","花東區","6-10 溫暖","0-4 冷淡","6-10 溫暖",1,1.11050018668651,1.1105001866865
"男性","20至29歲","專科及以上","花東區","6-10 溫暖","5 中間","6-10 溫暖",1,1.11050018668651,1.1105001866865
"男性","20至29歲","專科及以上","花東區","6-10 溫暖","6-10 溫暖","0-4 冷淡",1,1.11050018668651,1.1105001866865
"男性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","0-4 冷淡","0-4 冷淡",5,6.18553384132409,6.185533841324
"男性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","0-4 冷淡","5 中間",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","0-4 冷淡","6-10 溫暖",3,3.71132030479446,3.71132030479441
"男性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","5 中間","0-4 冷淡",3,3.71132030479446,3.71132030479441
"男性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","6-10 溫暖","0-4 冷淡",2,2.57602660367802,2.57602660367799
"男性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","6-10 溫暖","5 中間",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","雲嘉南區","5 中間","0-4 冷淡","0-4 冷淡",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","雲嘉南區","5 中間","0-4 冷淡","6-10 溫暖",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","雲嘉南區","5 中間","5 中間","6-10 溫暖",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","雲嘉南區","6-10 溫暖","0-4 冷淡","6-10 溫暖",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","雲嘉南區","6-10 溫暖","5 中間","6-10 溫暖",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","雲嘉南區","6-10 溫暖","6-10 溫暖","0-4 冷淡",1,1.23710676826482,1.2371067682648
"男性","20至29歲","專科及以上","高屏區","0-4 冷淡","0-4 冷淡","0-4 冷淡",2,3.54372629809736,3.54372629809731
"男性","20至29歲","專科及以上","高屏區","0-4 冷淡","5 中間","5 中間",1,1.77186314904868,1.77186314904866
"男性","20至29歲","專科及以上","高屏區","0-4 冷淡","6-10 溫暖","0-4 冷淡",1,1.77186314904868,1.77186314904866
"男性","20至29歲","專科及以上","高屏區","5 中間","5 中間","5 中間",3,5.46141261002861,5.46141261002854
"男性","20至29歲","專科及以上","高屏區","6-10 溫暖","0-4 冷淡","5 中間",1,1.77186314904868,1.77186314904866
"男性","20至29歲","高中職及以下","中彰投區","5 中間","0-4 冷淡","6-10 溫暖",1,1.99852409396533,1.9985240939653
"男性","20至29歲","高中職及以下","中彰投區","5 中間","5 中間","5 中間",3,5.995572281896,5.99557228189592
"男性","20至29歲","高中職及以下","中彰投區","6-10 溫暖","0-4 冷淡","6-10 溫暖",1,1.99852409396533,1.9985240939653
"男性","20至29歲","高中職及以下","中彰投區","6-10 溫暖","6-10 溫暖","6-10 溫暖",1,1.99852409396533,1.9985240939653
"男性","20至29歲","高中職及以下","北北基宜蘭區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.95177678539978,1.95177678539975
"男性","20至29歲","高中職及以下","北北基宜蘭區","5 中間","0-4 冷淡","6-10 溫暖",1,2.29797432809169,2.29797432809166
"男性","20至29歲","高中職及以下","北北基宜蘭區","6-10 溫暖","5 中間","5 中間",1,1.95177678539978,1.95177678539975
"男性","20至29歲","高中職及以下","桃竹苗區","0-4 冷淡","0-4 冷淡","0-4 冷淡",2,3.67501347329774,3.67501347329769
"男性","20至29歲","高中職及以下","桃竹苗區","0-4 冷淡","0-4 冷淡","5 中間",1,1.83750673664887,1.83750673664885
"男性","20至29歲","高中職及以下","桃竹苗區","5 中間","0-4 冷淡","5 中間",1,1.83750673664887,1.83750673664885
"男性","20至29歲","高中職及以下","桃竹苗區","5 中間","0-4 冷淡","6-10 溫暖",2,3.67501347329774,3.67501347329769
"男性","20至29歲","高中職及以下","桃竹苗區","5 中間","5 中間","5 中間",1,1.83750673664887,1.83750673664885
"男性","20至29歲","高中職及以下","桃竹苗區","6-10 溫暖","0-4 冷淡","5 中間",1,1.83750673664887,1.83750673664885
"男性","20至29歲","高中職及以下","桃竹苗區","6-10 溫暖","5 中間","5 中間",1,1.83750673664887,1.83750673664885
"男性","20至29歲","高中職及以下","花東區","0-4 冷淡","0-4 冷淡","0-4 冷淡",1,1.54571945536119,1.54571945536117
"男性","20至29歲","高中職及以下","花東區","5 中間","0-4 冷淡","5 中間",1,1.54571945536119,1.54571945536117
"男性","20至29歲","高中職及以下","雲嘉南區","0-4 冷淡","5 中間","6-10 溫暖",1,1.72194478037107,1.72194478037105
"男性","20至29歲","高中職及以下","雲嘉南區","5 中間","0-4 冷淡","6-10 溫暖",1,1.72194478037107,1.72194478037105
"男性","20至29歲","高中職及以下","雲嘉南區","5 中間","5 中間","5 中間",1,1.72194478037107,1.72194478037105
"男性","20至29歲","高中職及以下","雲嘉南區","6-10 溫暖","5 中間","6-10 溫暖",1,1.72194478037107,1.72194478037105
"男性","20至29歲","高中職及以下","高屏區","0-4 冷淡","0-4 冷淡","0-4 冷淡",1,2.46627904664661,2.46627904664658
"男性","20至29歲","高中職及以下","高屏區","5 中間","5 中間","0-4 冷淡",1,2.46627904664661,2.46627904664658
"男性","20至29歲","高中職及以下","高屏區","5 中間","5 中間","5 中間",2,5.37001577386846,5.37001577386839
"男性","20至29歲","高中職及以下","高屏區","5 中間","5 中間","6-10 溫暖",1,2.46627904664661,2.46627904664658
"男性","20至29歲","高中職及以下","高屏區","6-10 溫暖","0-4 冷淡","5 中間",1,2.46627904664661,2.46627904664658
"男性","20至29歲","高中職及以下","高屏區","6-10 溫暖","0-4 冷淡","6-10 溫暖",2,4.93255809329322,4.93255809329315
"男性","30至39歲","專科及以上","中彰投區","0-4 冷淡","0-4 冷淡","0-4 冷淡",6,7.04358225836664,7.04358225836654
"男性","30至39歲","專科及以上","中彰投區","0-4 冷淡","0-4 冷淡","5 中間",4,4.69572150557776,4.6957215055777
"男性","30至39歲","專科及以上","中彰投區","0-4 冷淡","0-4 冷淡","6-10 溫暖",1,1.17393037639444,1.17393037639442
"男性","30至39歲","專科及以上","中彰投區","0-4 冷淡","5 中間","0-4 冷淡",2,2.34786075278888,2.34786075278885
"男性","30至39歲","專科及以上","中彰投區","0-4 冷淡","5 中間","6-10 溫暖",2,2.34786075278888,2.34786075278885
"男性","30至39歲","專科及以上","中彰投區","0-4 冷淡","6-10 溫暖","0-4 冷淡",4,4.69572150557775,4.69572150557769
"男性","30至39歲","專科及以上","中彰投區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.17393037639444,1.17393037639442
"男性","30至39歲","專科及以上","中彰投區","5 中間","0-4 冷淡","0-4 冷淡",1,1.17393037639444,1.17393037639442
"男性","30至39歲","專科及以上","中彰投區","5 中間","0-4 冷淡","6-10 溫暖",2,2.34786075278888,2.34786075278885
"男性","30至39歲","專科及以上","中彰投區","5 中間","5 中間","5 中間",8,9.58467039508939,9.58467039508926
"男性","30至39歲","專科及以上","中彰投區","6-10 溫暖","0-4 冷淡","6-10 溫暖",1,1.17393037639444,1.17393037639442
"男性","30至39歲","專科及以上","中彰投區","6-10 溫暖","6-10 溫暖","5 中間",1,1.17393037639444,1.17393037639442
"男性","30至39歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","0-4 冷淡",10,11.6534183179543,11.6534183179542
"男性","30至39歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","5 中間",3,3.53376701908416,3.53376701908411
"男性","30至39歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","6-10 溫暖",7,8.0252974896255,8.02529748962539
"男性","30至39歲","專科及以上","北北基宜蘭區","0-4 冷淡","5 中間","0-4 冷淡",1,1.1464710699465,1.14647106994648
"男性","30至39歲","專科及以上","北北基宜蘭區","0-4 冷淡","6-10 溫暖","0-4 冷淡",15,17.2914198584422,17.2914198584419
"男性","30至39歲","專科及以上","北北基宜蘭區","5 中間","0-4 冷淡","5 中間",3,3.43941320983949,3.43941320983944
"男性","30至39歲","專科及以上","北北基宜蘭區","5 中間","0-4 冷淡","6-10 溫暖",2,2.292942139893,2.29294213989297
"男性","30至39歲","專科及以上","北北基宜蘭區","5 中間","5 中間","5 中間",8,9.26612236881664,9.26612236881651
"男性","30至39歲","專科及以上","北北基宜蘭區","5 中間","5 中間","6-10 溫暖",1,1.1464710699465,1.14647106994648
"男性","30至39歲","專科及以上","北北基宜蘭區","5 中間","6-10 溫暖","0-4 冷淡",1,1.1464710699465,1.14647106994648
"男性","30至39歲","專科及以上","北北基宜蘭區","5 中間","6-10 溫暖","5 中間",1,1.1464710699465,1.14647106994648
"男性","30至39歲","專科及以上","北北基宜蘭區","5 中間","6-10 溫暖","6-10 溫暖",1,1.1464710699465,1.14647106994648
"男性","30至39歲","專科及以上","北北基宜蘭區","6-10 溫暖","0-4 冷淡","0-4 冷淡",2,2.38729594913766,2.38729594913763
"男性","30至39歲","專科及以上","北北基宜蘭區","6-10 溫暖","0-4 冷淡","5 中間",1,1.1464710699465,1.14647106994648
"男性","30至39歲","專科及以上","北北基宜蘭區","6-10 溫暖","0-4 冷淡","6-10 溫暖",2,2.292942139893,2.29294213989297
"男性","30至39歲","專科及以上","北北基宜蘭區","6-10 溫暖","5 中間","6-10 溫暖",1,1.1464710699465,1.14647106994648
"男性","30至39歲","專科及以上","北北基宜蘭區","6-10 溫暖","6-10 溫暖","5 中間",2,2.292942139893,2.29294213989297
"男性","30至39歲","專科及以上","北北基宜蘭區","6-10 溫暖","6-10 溫暖","6-10 溫暖",2,2.292942139893,2.29294213989297
"男性","30至39歲","專科及以上","桃竹苗區","0-4 冷淡","0-4 冷淡","0-4 冷淡",2,2.15869799267874,2.15869799267871
"男性","30至39歲","專科及以上","桃竹苗區","0-4 冷淡","0-4 冷淡","6-10 溫暖",1,1.07934899633937,1.07934899633936
"男性","30至39歲","專科及以上","桃竹苗區","0-4 冷淡","5 中間","0-4 冷淡",1,1.07934899633937,1.07934899633936
"男性","30至39歲","專科及以上","桃竹苗區","0-4 冷淡","5 中間","5 中間",1,1.16817870341063,1.16817870341061
"男性","30至39歲","專科及以上","桃竹苗區","0-4 冷淡","6-10 溫暖","0-4 冷淡",3,3.23804698901811,3.23804698901807
"男性","30至39歲","專科及以上","桃竹苗區","0-4 冷淡","6-10 溫暖","5 中間",1,1.07934899633937,1.07934899633936
"男性","30至39歲","專科及以上","桃竹苗區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.07934899633937,1.07934899633936
"男性","30至39歲","專科及以上","桃竹苗區","5 中間","0-4 冷淡","5 中間",1,1.07934899633937,1.07934899633936
"男性","30至39歲","專科及以上","桃竹苗區","5 中間","0-4 冷淡","6-10 溫暖",2,2.15869799267874,2.15869799267871
"男性","30至39歲","專科及以上","桃竹苗區","5 中間","5 中間","5 中間",2,2.15869799267874,2.15869799267871
"男性","30至39歲","專科及以上","桃竹苗區","6-10 溫暖","0-4 冷淡","6-10 溫暖",4,4.40622569242874,4.40622569242868
"男性","30至39歲","專科及以上","桃竹苗區","6-10 溫暖","6-10 溫暖","6-10 溫暖",2,2.15869799267874,2.15869799267871
"男性","30至39歲","專科及以上","花東區","0-4 冷淡","0-4 冷淡","6-10 溫暖",1,0.9079535380692,0.907953538069188
"男性","30至39歲","專科及以上","雲嘉南區","0-4 冷淡","0-4 冷淡","0-4 冷淡",2,2.0229361159621,2.02293611596207
"男性","30至39歲","專科及以上","雲嘉南區","0-4 冷淡","0-4 冷淡","5 中間",3,3.03440417394314,3.0344041739431
"男性","30至39歲","專科及以上","雲嘉南區","0-4 冷淡","5 中間","0-4 冷淡",2,2.02293611596209,2.02293611596206
"男性","30至39歲","專科及以上","雲嘉南區","0-4 冷淡","6-10 溫暖","0-4 冷淡",5,5.05734028990524,5.05734028990517
"男性","30至39歲","專科及以上","雲嘉南區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.01146805798105,1.01146805798104
"男性","30至39歲","專科及以上","雲嘉南區","5 中間","0-4 冷淡","5 中間",1,1.09471120881281,1.0947112088128
"男性","30至39歲","專科及以上","雲嘉南區","5 中間","0-4 冷淡","6-10 溫暖",2,2.0229361159621,2.02293611596207
"男性","30至39歲","專科及以上","雲嘉南區","5 中間","5 中間","5 中間",3,3.03440417394314,3.0344041739431
"男性","30至39歲","專科及以上","雲嘉南區","5 中間","5 中間","6-10 溫暖",1,1.09471120881281,1.0947112088128
"男性","30至39歲","專科及以上","雲嘉南區","6-10 溫暖","0-4 冷淡","6-10 溫暖",3,3.03440417394315,3.03440417394311
"男性","30至39歲","專科及以上","雲嘉南區","6-10 溫暖","5 中間","6-10 溫暖",1,1.01146805798105,1.01146805798104
"男性","30至39歲","專科及以上","雲嘉南區","6-10 溫暖","6-10 溫暖","6-10 溫暖",1,1.01146805798105,1.01146805798104
"男性","30至39歲","專科及以上","高屏區","0-4 冷淡","0-4 冷淡","0-4 冷淡",3,4.34606702756187,4.34606702756181
"男性","30至39歲","專科及以上","高屏區","0-4 冷淡","0-4 冷淡","5 中間",2,2.89737801837458,2.89737801837454
"男性","30至39歲","專科及以上","高屏區","0-4 冷淡","0-4 冷淡","6-10 溫暖",1,1.44868900918729,1.44868900918727
"男性","30至39歲","專科及以上","高屏區","0-4 冷淡","6-10 溫暖","0-4 冷淡",2,2.89737801837458,2.89737801837454
"男性","30至39歲","專科及以上","高屏區","0-4 冷淡","6-10 溫暖","5 中間",1,1.44868900918729,1.44868900918727
"男性","30至39歲","專科及以上","高屏區","5 中間","5 中間","5 中間",2,2.89737801837458,2.89737801837454
"男性","30至39歲","專科及以上","高屏區","5 中間","5 中間","6-10 溫暖",2,3.01660416418729,3.01660416418725
"男性","30至39歲","專科及以上","高屏區","6-10 溫暖","0-4 冷淡","5 中間",1,1.44868900918729,1.44868900918727
