"lambda","n_eff","min_w","max_w","imbalance","imbalance_order1","imbalance_order2","pct_improvement","deff","selected"
226.967983827673,3249.77387574416,0.01,6.92863477112303,0.0125490845323057,1.74680093397764e-15,0.0125490845323057,0.860793432471431,2.69372588208016,FALSE
125.76342126504,3249.63500140644,0.01,6.93460775480947,0.0124638721150037,2.12746663763357e-15,0.0124638721150037,1.53402906108768,2.69384099943879,FALSE
69.6857674001135,3249.19835759653,0.01,6.94561240171346,0.012313885981705,2.13644398574008e-15,0.012313885981705,2.71902077863482,2.69420301150079,FALSE
38.6130253876342,3247.87204983208,0.01,6.96578448424198,0.0120565317525548,3.33347776128053e-15,0.0120565317525548,4.75229294394443,2.69530322182876,FALSE
21.3955558676054,3244.0698998308,0.01,7.05288165015645,0.0116339852598727,2.78825330938877e-15,0.0116339852598727,8.09069552219948,2.69846220035412,FALSE
11.8553210034255,3233.91165123396,0.01,7.29359329166961,0.0109738785593524,1.82678291011919e-15,0.0109738785593524,13.3059841332877,2.70693851412414,FALSE
6.56905746987693,3209.49238858183,0.01,7.68910945217661,0.0100095398170244,1.94496868738793e-15,0.0100095398170244,20.924911279658,2.72753412070502,FALSE
3.63992809895888,3158.97246656521,0.01,8.31796362457033,0.00873440385645088,2.27247564221938e-15,0.00873440385645088,30.9993462877056,2.77115425748498,FALSE
2.01689155961039,3071.97506142438,0.01,9.31570556817395,0.00722868467361244,2.40969301210697e-14,0.00722868467361244,42.8955444319835,2.84963250839056,FALSE
1.11756371352257,2950.41323722865,0.01,10.5615019731712,0.00566913849657016,3.17941491357784e-14,0.00566913849657016,55.2170121722511,2.96704200263916,FALSE
0.619244325670949,2808.29480073535,0.01,11.9448314998726,0.0042167103745171,4.7061265775255e-15,0.0042167103745171,66.6921749563853,3.11719410572842,FALSE
0.343124539778575,2667.0281762553,0.01,13.330615087499,0.00299533074259854,3.68420950333992e-15,0.00299533074259854,76.3418986739898,3.28230503072196,FALSE
0.190126005063823,2542.91514745438,0.01,14.5894482073344,0.00205186843456036,8.3516485992415e-15,0.00205186843456036,83.7958878945576,3.44250574336438,FALSE
0.105349205932213,2443.58706764539,0.01,15.6453624684352,0.0013772665412876,3.98871559639979e-15,0.0013772665412876,89.1256983149504,3.58243834071165,FALSE
0.058374209182075,2366.80356517836,0.01,16.4614584223957,0.000910798501143466,5.8214488668175e-15,0.000910798501143466,92.8111107721835,3.69865929255532,FALSE
0.0323452679826104,2308.83646893432,0.01,17.0566662816367,0.00059718749095865,5.73218540168971e-15,0.00059718749095865,95.2888494899388,3.79152015215723,TRUE
0.017922578747125,2265.73604515404,0.01,17.4720855121203,0.000390529276281843,9.39006389719722e-15,0.000390529276281843,96.9215889130387,3.8636451137912,FALSE
0.00993093732040154,2234.00392567902,0.01,18.6411657388534,0.000257559109202627,5.63407283281514e-06,0.000257497479514976,97.9721430089692,3.91852489576053,FALSE
0.0055027525588395,2210.75532655087,0.01,20.0520120957991,0.000174550955179578,6.14015291637482e-06,0.00017444292612848,98.6279634694533,3.95973262842146,FALSE
0.00304908637995414,2192.14873883142,0.01,21.3466323241722,0.0001196149643143,7.95703837306983e-15,0.0001196149643143,99.0619948878176,3.99334216923007,FALSE
0.00168950496192809,2176.60568463803,0.01,22.4347547650998,8.19689870033051e-05,1.72588929340649e-08,8.19689851863412e-05,99.3594235255947,4.02185846604356,FALSE
0.000936158134169548,2163.70134015267,0.01,23.1979630572052,5.55628781922222e-05,6.1136240477584e-07,5.55595146578311e-05,99.5680496135242,4.0458448851274,FALSE
0.000518727125353722,2154.06135312604,0.01,24.4122594034099,3.91001909417901e-05,7.92127846318612e-08,3.91001107034136e-05,99.6981159577341,4.0639510974448,FALSE
0.000287427754731235,2145.523350986,0.01,27.1141286538682,2.71959950225253e-05,2.42482820445835e-08,2.71959842124906e-05,99.7921671427212,4.08012338620179,FALSE
0.000159264303237476,2138.34600431209,0.01,29.1599325280374,1.86303466282908e-05,3.37972776862515e-08,1.86303159724758e-05,99.8598415482103,4.09381829804302,FALSE
8.8248674208365e-05,2132.29748108881,0.01,30.771065055083,1.21085540630378e-05,2.1116950788864e-08,1.21085356493632e-05,99.9113681127227,4.10543091554465,FALSE
4.88987697884935e-05,2128.55008199691,0.01,31.7093184530264,8.33951588152913e-06,1.72581205780106e-07,8.33772995878903e-06,99.9411460590567,4.11265869384074,FALSE
2.70949077510496e-05,2126.46631334487,0.01,32.2101463248835,6.3345330979705e-06,1.51762199588574e-07,6.33271488415985e-06,99.956986776729,4.11668877379496,FALSE
1.50133434688298e-05,2125.14153579689,0.01,32.5249569802354,5.08760351805145e-06,1.47400652380524e-07,5.08546778620878e-06,99.966838362286,4.119255048449,FALSE
8.3189241382201e-06,2123.96249932839,0.01,32.8073423286347,3.9821536740807e-06,1.51780224975044e-07,3.97926006278817e-06,99.9755721624078,4.12154169518909,FALSE
4.60953277736843e-06,2123.42210947896,0.01,32.934563404919,3.48476444492244e-06,1.32801237069947e-07,3.48223305768414e-06,99.979501873135,4.12259058663943,FALSE
2.55415148312436e-06,2122.92483754731,0.01,33.0523540521445,3.02284622986644e-06,1.98543393260788e-08,3.02278102657597e-06,99.9831513389022,4.12355625840894,FALSE
1.4152605293916e-06,2122.48038857902,0.01,33.1581949214868,2.61062474442421e-06,1.97122131772267e-09,2.61062400021269e-06,99.9864081669522,4.12441973414921,FALSE
7.84198736561884e-07,2122.08861682317,0.01,33.2515909659967,2.24723367891431e-06,5.61059639084269e-09,2.24722667500519e-06,99.9892792017165,4.12518116849664,FALSE
4.34526114205715e-07,2121.74616824182,0.01,33.3330875955198,1.93026494380295e-06,1.00693323315585e-08,1.93023868001369e-06,99.9917834687281,4.12584697030653,FALSE
2.40771803273389e-07,2121.44846628977,0.01,33.4037003428618,1.65561898141922e-06,4.3006833627205e-10,1.65561892556132e-06,99.9939533572607,4.12642594863971,FALSE
1.3341214568309e-07,2121.19062906378,0.01,33.4646078017824,1.41876316599625e-06,2.43486767727825e-11,1.41876316578731e-06,99.9958246781179,4.12692752836821,FALSE
7.39239411500189e-08,2120.96805529117,0.01,33.5169910865713,1.21506440429757e-06,6.01016506887965e-11,1.21506440281114e-06,99.9974340358643,4.12736060694618,FALSE
4.09614060786679e-08,2120.77640754199,0.01,33.5619585160434,1.04020641539495e-06,1.29617601264081e-10,1.04020640731928e-06,99.9988155320336,4.12773358326161,FALSE
2.26967983827673e-08,2120.61167489795,0.01,33.600513069567,8.9028657404376e-07,8.34145661196689e-11,8.90286570136035e-07,100,4.12805423247576,FALSE
