"lambda","n_eff","min_w","max_w","imbalance","imbalance_order1","imbalance_order2","pct_improvement","deff","selected"
70.5213669750945,950.370075351378,0.01,8.97421259294953,0.0124430808286494,4.12285936497187e-15,0.0124430808286494,0.918644858914853,3.29134942390046,FALSE
39.0760328109059,950.330238965918,0.01,9.01706942695642,0.0123535283025593,3.90208335093753e-15,0.0123535283025593,1.64376674462639,3.29148739221817,FALSE
21.6521092221347,950.206150484767,0.01,9.09311963585344,0.0121971084851342,3.66825421796056e-15,0.0121971084851342,2.91032434971174,3.29191723122839,FALSE
11.9974777387435,949.819594176457,0.01,9.22801285690526,0.0119218467630585,4.02378156988853e-15,0.0119218467630585,5.13916487147405,3.2932569713011,FALSE
6.64782680592138,948.734027668298,0.01,9.45847043580254,0.0114774595376195,3.63854095471305e-15,0.0114774595376195,8.7374430771873,3.29702520282495,FALSE
3.68357434819924,945.926801996358,0.0100000000103631,9.84300032311696,0.0108038352853671,1.93584726678125e-14,0.0108038352853671,14.1918920958904,3.30680977999399,FALSE
2.04107603504735,939.513143489763,0.01,10.4517926729434,0.00986904237200333,5.48719186776359e-15,0.00986904237200333,21.7610677482493,3.32938397049054,FALSE
1.13096438052925,926.70851029851,0.01,11.3991511794692,0.00868422409422939,2.85204864306865e-15,0.00868422409422939,31.35474088418,3.37538715274387,FALSE
0.626669662502917,904.914077311791,0.01,12.7730008238584,0.0073321089597019,4.50083389119533e-15,0.0073321089597019,42.3030448444913,3.45668177612208,FALSE
0.347238934012885,873.636149619165,0.01,14.6122870159704,0.00594643178214358,4.49012703786889e-15,0.00594643178214358,53.523106319564,3.58043792185517,FALSE
0.192405799273622,834.380241398718,0.01,16.8581808221903,0.00462774664747384,4.5037396576432e-15,0.00462774664747384,64.2007219409244,3.74889030780063,FALSE
0.106612444538687,790.838048410381,0.01,19.3534084811142,0.00344914624493257,6.40920690319429e-15,0.00344914624493257,73.7440478939146,3.95529780880854,FALSE
0.0590741722620872,748.261521696618,0.01,21.9013452101498,0.0024734614993791,5.26443009508127e-15,0.0024734614993791,81.6443315982985,4.18035661236132,FALSE
0.0327331189482708,710.264686952935,0.01,24.2727235245041,0.00170867087519207,3.84981907393031e-15,0.00170867087519207,87.8369700843116,4.40399200109364,FALSE
0.0181374877556987,679.041204780825,0.01,26.269645945889,0.00114360207880797,5.80664899687718e-15,0.00114360207880797,92.4124272945161,4.60649512574075,FALSE
0.0100500188389625,655.323798148536,0.01,27.8741915845273,0.000754554767094136,4.39030827310069e-15,0.000754554767094136,95.5626088987428,4.77321288931889,TRUE
0.00556873587036696,638.355390415612,0.01,29.0546492066211,0.00050712063313018,6.98406095405152e-15,0.00050712063313018,97.5661247529903,4.90009177797255,FALSE
0.00308564786701564,626.359348461384,0.01,29.835273169011,0.000359528508669684,5.95610201976933e-15,0.000359528508669684,98.7612030414278,4.99393839604016,FALSE
0.00170976375623841,617.118552204425,0.01,30.3358686481882,0.000270255456695679,7.79826214648267e-15,0.000270255456695679,99.4840619781541,5.06871813985561,FALSE
0.000947383573283042,610.932661044815,0.01,30.6357561940632,0.000225554380348314,6.99214941767633e-15,0.000225554380348314,99.8460141216564,5.12004055348834,FALSE
0.000524947163987837,608.224238620068,0.01,30.8070580736921,0.00021339006444669,9.2193528493186e-09,0.000213390064247532,99.9445106361612,5.14284009314849,FALSE
0.000290874290783743,606.536431630387,0.01,30.908108844294,0.000208968346010563,1.18496321132649e-08,0.000208968345674594,99.9803140350208,5.1571510578381,FALSE
0.000161174035870981,605.476739618465,0.01,30.9671081780357,0.000207381713231951,1.15186935223487e-08,0.000207381712912057,99.9931612678415,5.16617698967441,FALSE
8.93068609430787e-05,604.831659629887,0.01,31.0007224202992,0.000206831297442818,1.2241305200715e-08,0.000206831297080567,99.9976180771842,5.17168694825617,FALSE
4.9485113209493e-05,604.4453753351,0.01,31.0197547554926,0.000206641254707811,1.1900935955568e-08,0.00020664125436511,99.9991568852156,5.17499203011664,FALSE
