"source","variable","var","code","label","N","prop"
"census_2025","age","AGE",1,"18至19歲",409316,0.020651
"census_2025","age","AGE",2,"20至29歲",2722212,0.137343
"census_2025","age","AGE",3,"30至39歲",3160630,0.159462
"census_2025","age","AGE",4,"40至49歲",3873064,0.195407
"census_2025","age","AGE",5,"50至59歲",3474006,0.175273
"census_2025","age","AGE",6,"60歲及以上",6181313,0.311864
"census_2025","arear","AREAR",1,"北北基宜蘭區",6335022,0.319619
"census_2025","arear","AREAR",2,"桃竹苗區",3274379,0.165201
"census_2025","arear","AREAR",3,"中彰投區",3872552,0.195381
"census_2025","arear","AREAR",4,"雲嘉南區",2826723,0.142616
"census_2025","arear","AREAR",5,"高屏區",3056800,0.154224
"census_2025","arear","AREAR",6,"花東區",455065,0.022959
"census_2025","edu","EDU",1,"小學及以下",1914162,0.096575
"census_2025","edu","EDU",2,"國、初中",2143046,0.108122
"census_2025","edu","EDU",3,"高中、職",5433847,0.274152
"census_2025","edu","EDU",4,"專科",2218561,0.111932
"census_2025","edu","EDU",5,"大學及以上",8110925,0.409218
"census_2025","sex","SEX",1,"男性",9673593,0.488059
"census_2025","sex","SEX",2,"女性",10146948,0.511941
