"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","n_sources","prop","prop_wt","cell"
"男性","60歲及以上","小學及以下","雲嘉南區","本省閩南人","00","10","00",5,3.8912600885396,3,0.000892857142857143,0.00069803402956099,"男性 | 60歲及以上 | 小學及以下 | 雲嘉南區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","中彰投區","本省閩南人","00","10","00",5,3.735680348,3,0.000892857142857143,0.000670125344267309,"男性 | 60歲及以上 | 高中、職 | 中彰投區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","中彰投區","本省閩南人","05","05","05",5,3.789821333,2,0.000892857142857143,0.000679837429572338,"男性 | 60歲及以上 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",4,6.48531618748248,2,0.000714285714285714,0.00116336900857853,"女性 | 20至29歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","桃竹苗區","本省客家人","05","05","05",4,5.71800562276386,2,0.000714285714285714,0.00102572493616283,"女性 | 20至29歲 | 大學及以上 | 桃竹苗區 | 本省客家人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","高屏區","本省閩南人","05","05","05",4,6.26070179366867,2,0.000714285714285714,0.00112307653600055,"女性 | 20至29歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","高屏區","本省閩南人","05","05","05",4,4.39685937322578,2,0.000714285714285714,0.000788731001236584,"女性 | 30至39歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","高中、職","桃竹苗區","本省閩南人","05","05","05",4,6.10936398035766,2,0.000714285714285714,0.00109592878919186,"女性 | 30至39歲 | 高中、職 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","00","07","00",4,3.95873502388503,2,0.000714285714285714,0.00071013802670892,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 00 | 07 | 00"
"女性","40至49歲","大學及以上","高屏區","本省閩南人","05","05","05",4,3.78214343038658,3,0.000714285714285714,0.000678460128343976,"女性 | 40至49歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",4,3.4576491472152,2,0.000714285714285714,0.000620250693123049,"女性 | 50至59歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","專科","北北基宜蘭區","本省閩南人","05","05","05",4,3.78146455387272,2,0.000714285714285714,0.000678338348021468,"女性 | 50至59歲 | 專科 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","高中、職","中彰投區","本省閩南人","05","05","05",4,4.62748993424773,2,0.000714285714285714,0.000830102684492659,"女性 | 50至59歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","高中、職","高屏區","本省閩南人","05","05","05",4,5.19902882740695,3,0.000714285714285714,0.000932628238571591,"女性 | 50至59歲 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","高屏區","本省閩南人","05","05","05",4,4.60165123859837,2,0.000714285714285714,0.000825467607825375,"女性 | 60歲及以上 | 國、初中 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","05","05","03",4,4.04307520851101,3,0.000714285714285714,0.000725267398066486,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 03"
"女性","60歲及以上","小學及以下","桃竹苗區","本省客家人","05","05","05",4,3.751848105,2,0.000714285714285714,0.00067302559876351,"女性 | 60歲及以上 | 小學及以下 | 桃竹苗區 | 本省客家人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","雲嘉南區","本省閩南人","05","05","05",4,3.3191745216761,2,0.000714285714285714,0.000595410410372049,"女性 | 60歲及以上 | 小學及以下 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","高屏區","本省閩南人","05","05","05",4,4.12658240401855,2,0.000714285714285714,0.000740247343598562,"女性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","05","05","05",4,3.6398456392395,3,0.000714285714285714,0.000652934026697734,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","高中、職","高屏區","本省閩南人","00","10","00",4,3.87355886100894,2,0.000714285714285714,0.000694858693320219,"女性 | 60歲及以上 | 高中、職 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"男性","20至29歲","高中、職","高屏區","本省閩南人","05","05","05",4,7.05579519664661,3,0.000714285714285714,0.00126570443527478,"男性 | 20至29歲 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","高屏區","本省閩南人","05","05","07",4,4.58007540918729,2,0.000714285714285714,0.000821597225789156,"男性 | 30至39歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 07"
"男性","30至39歲","高中、職","雲嘉南區","本省閩南人","05","05","05",4,5.582372673061,3,0.000714285714285714,0.00100139440767897,"男性 | 30至39歲 | 高中、職 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","中彰投區","本省閩南人","05","05","05",4,3.41798222376382,2,0.000714285714285714,0.000613135038608307,"男性 | 40至49歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",4,3.41208133199896,2,0.000714285714285714,0.000612076506625631,"男性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","桃竹苗區","本省閩南人","05","05","05",4,3.21525426555676,1,0.000714285714285714,0.000576768666185986,"男性 | 40至49歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"男性","50至59歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",4,2.41967846023929,2,0.000714285714285714,0.000434054231126107,"男性 | 50至59歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","50至59歲","高中、職","高屏區","本省閩南人","05","05","05",4,4.73416790968702,3,0.000714285714285714,0.00084923912239888,"男性 | 50至59歲 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","國、初中","中彰投區","本省閩南人","05","05","05",4,3.66048464494516,3,0.000714285714285714,0.000656636356532042,"男性 | 60歲及以上 | 國、初中 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","國、初中","高屏區","本省閩南人","00","10","00",4,4.09822881398024,2,0.000714285714285714,0.000735161132382496,"男性 | 60歲及以上 | 國、初中 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","小學及以下","高屏區","本省閩南人","00","10","00",4,4.03381666452604,2,0.000714285714285714,0.000723606553348156,"男性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","00","10","00",4,3.51756598473306,3,0.000714285714285714,0.000630998880234551,"男性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","雲嘉南區","本省閩南人","00","10","00",4,2.74998473429095,2,0.000714285714285714,0.000493306250836793,"男性 | 60歲及以上 | 高中、職 | 雲嘉南區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","高屏區","本省閩南人","00","10","00",4,3.12807348247103,2,0.000714285714285714,0.000561129733826557,"男性 | 60歲及以上 | 高中、職 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"女性","30至39歲","大學及以上","北北基宜蘭區","本省客家人","05","05","05",3,3.96325038172996,2,0.000535714285714286,0.000710948014568813,"女性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省客家人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","桃竹苗區","本省閩南人","05","05","05",3,3.3487264129167,2,0.000535714285714286,0.000600711578953552,"女性 | 30至39歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","大學及以上","桃竹苗區","本省閩南人","05","05","05",3,2.64987669541545,2,0.000535714285714286,0.000475348361572717,"女性 | 40至49歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","專科","中彰投區","本省閩南人","05","05","05",3,2.747695255,2,0.000535714285714286,0.000492895552394979,"女性 | 40至49歲 | 專科 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","專科","北北基宜蘭區","本省閩南人","05","03","06",3,2.96434630994944,1,0.000535714285714286,0.00053175952073788,"女性 | 40至49歲 | 專科 | 北北基宜蘭區 | 本省閩南人 | 05 | 03 | 06"
"女性","40至49歲","專科","桃竹苗區","本省閩南人","05","05","05",3,2.79079367837476,1,0.000535714285714286,0.000500626766822051,"女性 | 40至49歲 | 專科 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","專科","中彰投區","本省閩南人","05","05","05",3,2.584907617,2,0.000535714285714286,0.000463693877788206,"女性 | 50至59歲 | 專科 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","高中、職","桃竹苗區","本省客家人","05","05","05",3,3.50405595089482,3,0.000535714285714286,0.000628575381638971,"女性 | 50至59歲 | 高中、職 | 桃竹苗區 | 本省客家人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","北北基宜蘭區","本省客家人","05","05","03",3,4.182479663,2,0.000535714285714286,0.000750274478264567,"女性 | 60歲及以上 | 國、初中 | 北北基宜蘭區 | 本省客家人 | 05 | 05 | 03"
"女性","60歲及以上","國、初中","北北基宜蘭區","本省閩南人","00","10","00",3,2.88993418280827,1,0.000535714285714286,0.000518411094836066,"女性 | 60歲及以上 | 國、初中 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","國、初中","北北基宜蘭區","本省閩南人","05","05","03",3,3.62062505926943,3,0.000535714285714286,0.000649486141287421,"女性 | 60歲及以上 | 國、初中 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 03"
"女性","60歲及以上","國、初中","北北基宜蘭區","本省閩南人","05","05","05",3,3.15361194626943,2,0.000535714285714286,0.000565710953377132,"女性 | 60歲及以上 | 國、初中 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","桃竹苗區","本省客家人","05","05","05",3,3.53038461138268,2,0.000535714285714286,0.000633298350691441,"女性 | 60歲及以上 | 國、初中 | 桃竹苗區 | 本省客家人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","雲嘉南區","本省閩南人","00","10","00",3,2.61674616323667,2,0.000535714285714286,0.000469405238175141,"女性 | 60歲及以上 | 國、初中 | 雲嘉南區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","國、初中","雲嘉南區","本省閩南人","05","05","05",3,2.61674616323667,2,0.000535714285714286,0.000469405238175141,"女性 | 60歲及以上 | 國、初中 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","高屏區","本省閩南人","00","10","00",3,3.38440410006558,2,0.000535714285714286,0.000607111623967067,"女性 | 60歲及以上 | 國、初中 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",3,2.18338397179762,2,0.000535714285714286,0.000391666523757028,"女性 | 60歲及以上 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","專科","北北基宜蘭區","本省閩南人","00","10","00",3,2.69991569,2,0.000535714285714286,0.000484324610970157,"女性 | 60歲及以上 | 專科 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","專科","北北基宜蘭區","本省閩南人","05","05","05",3,2.412040715,2,0.000535714285714286,0.000432684133531797,"女性 | 60歲及以上 | 專科 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","00","09","00",3,2.79073802176651,1,0.000535714285714286,0.000500616782856538,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 00 | 09 | 00"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","05","05","05",3,2.79073802176651,1,0.000535714285714286,0.000500616782856538,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","雲嘉南區","本省閩南人","00","10","00",3,2.51393269622537,3,0.000535714285714286,0.000450962035449525,"女性 | 60歲及以上 | 小學及以下 | 雲嘉南區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","高中、職","中彰投區","本省閩南人","05","05","03",3,2.51334535103906,1,0.000535714285714286,0.000450856674482174,"女性 | 60歲及以上 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 03"
"女性","60歲及以上","高中、職","北北基宜蘭區","大陸各省市","05","05","05",3,3.16821977861975,3,0.000535714285714286,0.000568331380654322,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 大陸各省市 | 05 | 05 | 05"
"女性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","05","05","04",3,2.45455590185925,1,0.000535714285714286,0.000440310724025787,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 04"
"女性","60歲及以上","高中、職","雲嘉南區","本省閩南人","05","05","05",3,2.271576722,3,0.000535714285714286,0.000407486987925728,"女性 | 60歲及以上 | 高中、職 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","高中、職","高屏區","本省閩南人","05","05","05",3,2.54891910700447,2,0.000535714285714286,0.0004572380757913,"女性 | 60歲及以上 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",3,3.088347164,2,0.000535714285714286,0.000554003424731047,"男性 | 20至29歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","大學及以上","高屏區","本省閩南人","05","05","05",3,4.64179249909735,2,0.000535714285714286,0.000832668351332673,"男性 | 20至29歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","高中、職","中彰投區","本省閩南人","05","05","05",3,5.995572281896,1,0.000535714285714286,0.00107551625546231,"男性 | 20至29歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","高中、職","雲嘉南區","本省閩南人","05","05","05",3,4.71319342937107,3,0.000535714285714286,0.000845476613422415,"男性 | 20至29歲 | 高中、職 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","高中、職","高屏區","本省閩南人","05","05","06",3,6.24877205064661,2,0.000535714285714286,0.00112093651801053,"男性 | 20至29歲 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 06"
"男性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","05","03","05",3,3.48090264089299,2,0.000535714285714286,0.000624422023109725,"男性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 03 | 05"
"男性","40至49歲","大學及以上","中彰投區","本省閩南人","00","08","00",3,2.54373194350921,2,0.000535714285714286,0.000456307576016368,"男性 | 40至49歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 00 | 08 | 00"
"男性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","03","08","00",3,2.68022812866632,3,0.000535714285714286,0.000480792956067301,"男性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 03 | 08 | 00"
"男性","40至49歲","專科","雲嘉南區","本省閩南人","05","05","05",3,2.51151617678032,2,0.000535714285714286,0.000450528547898614,"男性 | 40至49歲 | 專科 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","高中、職","北北基宜蘭區","本省閩南人","05","05","05",3,4.00957472629936,3,0.000535714285714286,0.000719257911150074,"男性 | 40至49歲 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"男性","50至59歲","專科","雲嘉南區","本省閩南人","05","05","05",3,2.20849150635788,1,0.000535714285714286,0.000396170441028726,"男性 | 50至59歲 | 專科 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","國、初中","北北基宜蘭區","本省閩南人","00","10","00",3,3.00053689006777,2,0.000535714285714286,0.000538251571101347,"男性 | 60歲及以上 | 國、初中 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","國、初中","雲嘉南區","本省閩南人","00","10","00",3,2.57772255116882,2,0.000535714285714286,0.000462404984128908,"男性 | 60歲及以上 | 國、初中 | 雲嘉南區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","國、初中","雲嘉南區","本省閩南人","05","05","05",3,2.38436793350647,1,0.000535714285714286,0.000427720049215773,"男性 | 60歲及以上 | 國、初中 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
