"order","vars","cell","target_count","target_pct","sample_n","sample_pct","raking_pct","mlcal_pct","rel_imbalance_raking","rel_imbalance_mlcal"
1,"sex","男性",1308.38174140401,50.6602770464424,1622,51.8542199488491,50.6602770464424,50.6602770464424,0,0
1,"sex","女性",1274.2763443474,49.3397229535576,1506,48.1457800511509,49.3397229535576,49.3397229535576,0,0
1,"age","20至29歲",365.622693206459,14.1568369124665,810,25.8951406649616,14.1568369124667,14.1568369124667,1.51827119925465e-14,1.51827119925465e-14
1,"age","30至39歲",430.044773821911,16.651246876018,995,31.809462915601,16.651246876018,16.651246876018,-1.06680109461271e-15,-1.06680109461271e-15
1,"age","40至49歲",537.18364825268,20.7996424775054,845,27.0140664961637,20.7996424775053,20.7996424775053,-3.58693604159289e-15,-3.58693604159289e-15
1,"age","50至59歲",475.162664744739,18.3982025095084,326,10.4219948849105,18.3982025095083,18.3982025095083,-4.82752822859248e-15,-4.82752822859248e-15
1,"age","60歲及以上",774.644305725634,29.9940712245017,152,4.85933503836317,29.9940712245017,29.9940712245017,-1.4213663702572e-15,-1.4213663702572e-15
1,"edu","高中職及以下",1175.10208218626,45.4997155321999,356,11.381074168798,45.4997155322002,45.4997155322002,5.46574752407053e-15,5.46574752407053e-15
1,"edu","專科",304.647270998214,11.79588086704,289,9.23913043478261,11.79588086704,11.79588086704,-3.16241695282278e-15,-3.16241695282278e-15
1,"edu","大學及以上",1102.90873256695,42.70440360076,2483,79.3797953964194,42.7044036007598,42.7044036007598,-5.1579750450305e-15,-5.1579750450305e-15
1,"arear","北北基宜蘭區",833.558795230551,32.2752283714717,1298,41.4961636828644,32.2752283714719,32.2752283714719,5.72392886492849e-15,5.72392886492849e-15
1,"arear","桃竹苗區",430.65166950993,16.6747457546101,473,15.1214833759591,16.6747457546101,16.6747457546101,-2.98283357570569e-15,-2.98283357570569e-15
1,"arear","中彰投區",486.954918679405,18.8547962026389,507,16.2084398976982,18.8547962026388,18.8547962026388,-3.01479890049686e-15,-3.01479890049686e-15
1,"arear","雲嘉南區",371.173428384617,14.3717602586416,381,12.1803069053708,14.3717602586416,14.3717602586416,-2.10120860119737e-15,-2.10120860119737e-15
1,"arear","高屏區",397.632187750942,15.3962380829536,425,13.5869565217391,15.3962380829536,15.3962380829536,-2.42289664698722e-15,-2.42289664698722e-15
1,"arear","花東區",62.6870861959766,2.42723132968404,44,1.40664961636829,2.42723132968404,2.42723132968404,-2.37849588436316e-15,-2.37849588436316e-15
1,"party_kmt","0-4 冷淡",1109.01723532118,42.9409235949447,1918,61.3171355498721,42.9409235949448,42.9409235949448,2.48204746058519e-15,2.48204746058519e-15
1,"party_kmt","5 中間",795.456662395493,30.7999214756318,594,18.9897698209719,30.7999214756318,30.7999214756318,-6.92088844761113e-16,-6.92088844761113e-16
1,"party_kmt","6-10 溫暖",678.184188034748,26.2591549294235,616,19.693094629156,26.2591549294234,26.2591549294234,-3.51765149705224e-15,-3.51765149705224e-15
1,"party_dpp","0-4 冷淡",1034.78371839704,40.0666167970883,1740,55.6265984654731,40.0666167970884,40.0666167970884,3.19212608053577e-15,3.19212608053577e-15
1,"party_dpp","5 中間",668.044899665346,25.8665637294756,541,17.2953964194373,25.8665637294755,25.8665637294755,-1.78552042348699e-15,-1.78552042348699e-15
1,"party_dpp","6-10 溫暖",879.829467689038,34.0668194734361,847,27.0780051150895,34.0668194734361,34.0668194734361,-1.66858602415562e-15,-1.66858602415562e-15
1,"party_tpp","0-4 冷淡",1310.31382383336,50.7350868882871,1587,50.7352941176471,50.7350868882872,50.7350868882872,2.38084277543838e-15,2.38084277543838e-15
1,"party_tpp","5 中間",768.955345961162,29.773795850233,709,22.6662404092072,29.7737958502329,29.7737958502329,-1.90917608042789e-15,-1.90917608042789e-15
1,"party_tpp","6-10 溫暖",503.388915956903,19.4911172614799,832,26.5984654731458,19.4911172614799,19.4911172614799,-3.09864907841731e-15,-3.09864907841731e-15
2,"sex × age","男性 | 20至29歲",214.466657306438,8.3041056998468,376,12.0204603580563,7.25747958353902,7.25747958353902,-0.126037186199002,-0.126037186199002
2,"sex × age","男性 | 30至39歲",222.944650684725,8.63237189292361,512,16.3682864450128,9.04150331338482,9.04150331338482,0.0473950179088782,0.0473950179088782
2,"sex × age","男性 | 40至49歲",273.891499120253,10.605023585248,489,15.6329923273657,11.7400786744445,11.7400786744445,0.107029944824954,0.107029944824954
2,"sex × age","男性 | 50至59歲",227.999185472441,8.82808246009481,175,5.59462915601023,9.41311516726068,9.41311516726068,0.0662695109397052,0.0662695109397052
2,"sex × age","男性 | 60歲及以上",369.079748820157,14.2906934083291,70,2.23785166240409,13.2081003078134,13.2081003078134,-0.0757551134562005,-0.0757551134562005
2,"sex × age","女性 | 20至29歲",151.15603590002,5.85273121261972,434,13.8746803069054,6.89935732892772,6.89935732892772,0.178826957583709,0.178826957583709
2,"sex × age","女性 | 30至39歲",207.100123137186,8.01887498309444,483,15.4411764705882,7.60974356263319,7.60974356263319,-0.0510210498759226,-0.0510210498759226
2,"sex × age","女性 | 40至49歲",263.292149132426,10.1946188922573,356,11.381074168798,9.05956380306086,9.05956380306086,-0.111338648476456,-0.111338648476456
2,"sex × age","女性 | 50至59歲",247.163479272297,9.57012004941356,151,4.82736572890026,8.98508734224758,8.98508734224758,-0.0611311774716787,-0.0611311774716787
2,"sex × age","女性 | 60歲及以上",405.564556905476,15.7033778161726,82,2.62148337595908,16.7859709166883,16.7859709166883,0.0689401422540284,0.0689401422540284
2,"sex × edu","男性 | 高中職及以下",554.858686863235,21.4840164063684,158,5.05115089514067,19.1303748562102,19.1303748562102,-0.10955314433015,-0.10955314433015
2,"sex × edu","男性 | 專科",163.853643944213,6.34438003420572,164,5.24296675191816,6.92693747744879,6.92693747744879,0.0918225957622674,0.0918225957622674
2,"sex × edu","男性 | 大學及以上",589.669410596568,22.8318806058683,1300,41.5601023017903,24.6029647127834,24.6029647127834,0.0775706625962243,0.0775706625962243
2,"sex × edu","女性 | 高中職及以下",620.24339532302,24.0156991258314,198,6.32992327365729,26.36934067599,26.36934067599,0.0980042903530104,0.0980042903530104
2,"sex × edu","女性 | 專科",140.793627054001,5.45150083283429,125,3.99616368286445,4.86894338959119,4.86894338959119,-0.106861846142326,-0.106861846142326
2,"sex × edu","女性 | 大學及以上",513.239321970385,19.8725229948919,1183,37.8196930946292,18.1014388879765,18.1014388879765,-0.08912225726802,-0.08912225726802
2,"sex × arear","男性 | 北北基宜蘭區",395.89528750544,15.328985655887,677,21.6432225063939,14.8077990891033,14.8077990891033,-0.0340000687901666,-0.0340000687901666
2,"sex × arear","男性 | 桃竹苗區",232.258571404634,8.9930050240103,253,8.08823529411765,8.83845098179113,8.83845098179113,-0.017186028675235,-0.017186028675235
2,"sex × arear","男性 | 中彰投區",258.011201575702,9.99014166835152,266,8.50383631713555,10.4291857603967,10.4291857603967,0.0439477343385478,0.0439477343385478
2,"sex × arear","男性 | 雲嘉南區",195.284017193868,7.56135774500131,199,6.3618925831202,7.99500809648685,7.99500809648685,0.057350857625037,0.057350857625037
