"memberId","caseid","weight","excluded_reason"
"37797fe33ec110c9",1,0.00999999999999997,NA
"59093cf33f165d4d",2,0.806555970678727,NA
"483dd3b07ff8f4f6",3,0.0941570921050639,NA
"6a25d459a8df229c",4,0.00999999999999997,NA
"da02c83127b55607",5,1.30294361455551,NA
"f014c4129cd424b8",6,NA,"arear 缺值"
"91fc0d194b25e1d4",7,1.70883219190881,NA
"3f2a0fa4b7302ad3",8,0.523695636659012,NA
"282d7d0e6b9cb6d9",9,0.00999999999999997,NA
"1d50936dde771906",10,0.466289536936599,NA
"2a6c641467eefd3d",11,1.65243467545898,NA
"4f308a7bc746648c",12,1.39504110410073,NA
"5a81bfc595f2452f",13,1.50921298511728,NA
"24a445e10eead605",14,1.37945657470472,NA
"6e6bf22e865c9099",15,0.701824749933851,NA
"beb52c68c28efd79",16,1.09593903759612,NA
"05e19809fdbda2b6",17,4.76260919682972,NA
"75943986142dc919",18,0.00999999999999997,NA
"0f0c843dd8bb2f5a",19,0.00999999999999997,NA
"4bc470bb74fc823e",20,0.00999999999999997,NA
"43a39136229029aa",21,0.112433408973844,NA
"2546ac11d64b0229",22,0.112433408973844,NA
"e36992e6dc98d6f6",23,0.0638437362685992,NA
"12995ca8460d9c96",24,0.337365817045845,NA
"01204504e8de2067",25,7.99559074841735,NA
"8328a7760b8cab49",26,0.00999999999999997,NA
"cd82d55aba5b2bb5",27,0.257068617537202,NA
"e8e0084762f24fcc",28,0.488264468737985,NA
"207edc0e5714674a",29,0.102148406243589,NA
"b10d9fb627e84202",30,0.17492358726449,NA
"2f7f0371a8026c68",31,0.72700570586609,NA
"6606b499900dda59",32,1.02229200185771,NA
"9f45804f3bd46acf",33,1.24683768928826,NA
"a941391525f60a7b",34,2.40639747998328,NA
"5b8b4fa823eb21a7",35,0.00999999999999997,NA
"857631c5d2772ad1",36,1.36891713835039,NA
"3fb394f30d14634e",37,0.00999999999999997,NA
"d6250da38ca3f225",38,0.654382018300977,NA
"25f21ebe26baee8f",39,0.00999999999999997,NA
"85fbfd99d295f526",40,1.13338192535314,NA
"6ef29471a4489a70",41,0.958687935393693,NA
"b74ee5b98fc2b66a",42,0.785887540633768,NA
"d145c31321f0c127",43,0.00999999999999997,NA
"819a786016d4ce5c",44,0.00999999999999997,NA
"fd2e1d4f632bbc83",45,1.47329697891156,NA
"3d4feb87b6d74971",46,0.675586397864494,NA
"28ef70e801131c94",47,0.00999999999999997,NA
"c5a2115dd8c874e8",48,0.856418567151693,NA
"4d38fad90bd3b00a",49,1.48893109779448,NA
"eccb0bcb3a960fe8",50,8.8882282710042,NA
"7480489e33bd5952",51,0.00999999999999997,NA
"a9e0155e227343de",52,0.183123380011704,NA
"e41881aa95dacd47",53,0.00999999999999997,NA
"69cf1127a2ff126b",54,0.17492358726449,NA
"7af77cc02e399813",55,0.406940471649143,NA
"88c89ed05d419319",56,3.85016974021637,NA
"c81a56f871185aa3",57,0.452348462532272,NA
"d6a856088e50b8a4",58,7.43646469663259,NA
"a204cc8bf610181b",59,0.00999999999999997,NA
"9936bede8f40cd5b",60,0.768908503792619,NA
"36577fb3381c8bf5",61,0.00999999999999997,NA
"309a2349f07381fe",62,7.65603479117186,NA
"917adb495a03f14a",63,0.00999999999999997,NA
"a52d8fb8ede98cf7",64,0.00999999999999997,NA
"e493fa4a9c5803a3",65,0.711502404070207,NA
"469f5a02fb7f579f",66,1.26702760834979,NA
"b3c81c8fb7bc6df6",67,4.81797991569935,NA
"20a375d5f3026728",68,0.79382596810765,NA
"fd15ef0ffd3cc379",69,0.452348462532272,NA
"f295a7b8794d8c04",70,0.00999999999999997,NA
"f20ccff7a939dc5a",71,4.76260919682972,NA
"c2880fe5a3bd22a1",72,0.735047657527827,NA
"a3f4e35a9c2d0a5b",73,0.953202942553004,NA
"6466645a576fb334",74,0.164847063142923,NA
"a78b7f0dc2edf699",75,0.00999999999999997,NA
"e17c3d3724ddb67d",76,0.458616024993069,NA
"43bb7926fe71a6a9",77,0.201876432432302,NA
"1ef3a0a4d881775d",78,1.27460292290892,NA
"b9facd8421339985",79,0.335257825838433,NA
"da844088c22d24d3",80,0.431680032487312,NA
"402c6c9a74f6d313",81,0.787903832170356,NA
"771177b88b423fcc",82,0.00999999999999997,NA
"3d9a27a023f11cd6",83,3.45853465632345,NA
"124e844b1cf858bc",84,0.452348462532272,NA
"65e307e39181ede3",85,1.38526717859295,NA
"76b98515a6ba39a0",86,0.00999999999999997,NA
"fff14bef0b7dc59f",87,0.00999999999999997,NA
"4c3a9ce5c02d0e93",88,0.00999999999999997,NA
"e0fa666cbb0f69ea",89,0.00999999999999997,NA
"f6f1894fb61b6264",90,0.00999999999999997,NA
"9535c031c342ef51",91,1.13338192535314,NA
"50869099098c1a0e",92,0.266834790527921,NA
"9a2d2d106669f915",93,0.00999999999999997,NA
"9f81f41ce9f968ba",94,0.00999999999999997,NA
"7fa728324bdc0c03",95,0.61634145018206,NA
"5f669b9cb68830b2",96,1.43743187333172,NA
"dddc1fd6561a55fb",97,0.00999999999999997,NA
"cb9072a551435ff7",98,0.00999999999999997,NA
"eebaa7956941ebcb",99,0.00999999999999997,NA
"ce223a64a399be28",100,4.06704191570339,NA
"2a86d6835851513b",101,2.96915132195659,NA
"220127e08cd470fb",102,2.92144417339778,NA
"baf1d8d7af08d5b4",103,0.701858327922558,NA
"bc46458570d6812d",104,0.391795762751509,NA
"fbe48b28ec14817c",105,3.51710447334949,NA
"c0475e48a6ab091b",106,5.22509310943556,NA
"a58d548818aa4014",107,0.00999999999999997,NA
"ac31ed930a2cd7b5",108,0.452348462532272,NA
"47d91ab0bde2a52d",109,1.15204496286337,NA
"6aa39270a18ec0e0",110,4.61171054513758,NA
"c82379052c326fb0",111,0.0941570921050639,NA
"1806370888b37094",112,0.00999999999999997,NA
"10575fb4e5e00c9b",113,3.46725277587839,NA
"a01933a5f5c5bb10",114,0.525441445748167,NA
"a8766b50dd56656e",115,0.00999999999999997,NA
"d4b0d74a69348772",116,0.589251070285656,NA
"9eea5843034ad246",117,0.00999999999999997,NA
"e53f3495bed3981e",118,0.00999999999999997,NA
"3b1931121937e50d",119,0.00999999999999997,NA
"0ad71860b3bccb5f",120,0.859446057517818,NA
"feee8942c7515a1c",121,0.654134454037102,NA
"c592f29a6954d428",122,0.321911040320608,NA
"13510f65ca09bf09",123,1.20712121265605,NA
"2ab4f7d336efee53",124,0.00999999999999997,NA
"ecc7e3920aa7b350",125,0.543056314605643,NA
"c2207971f5832de7",126,0.68316171242362,NA
"f42e6e013710b840",127,0.808958982856764,NA
"a168ab2d5face1f2",128,5.20441378038874,NA
"fa7f235308ffc2ef",129,0.00999999999999997,NA
"805e68ea72744344",130,0.00999999999999997,NA
"ab1a25006dbdf1b7",131,0.00999999999999997,NA
"ce22268d1b9c5600",132,0.369035109456635,NA
"42424e497ea5c06c",133,0.00999999999999997,NA
"876b3167a7c572f7",134,0.00999999999999997,NA
