"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"女性","60歲及以上","小學及以下","雲嘉南區","本省閩南人","05","05","05",3,2.4621139086761,0.00113250283125708,0.00093292702870146,"女性 | 60歲及以上 | 小學及以下 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","高屏區","本省閩南人","00","10","00",3,3.52639644002783,0.00113250283125708,0.00133619754196814,"女性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","高中、職","中彰投區","本省閩南人","05","05","03",3,2.51334535103906,0.00113250283125708,0.000952339289495465,"女性 | 60歲及以上 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 03"
"女性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","00","10","00",3,2.45455590185925,0.00113250283125708,0.000930063201476526,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","05","05","04",3,2.45455590185925,0.00113250283125708,0.000930063201476526,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 04"
"男性","20至29歲","高中、職","中彰投區","本省閩南人","05","05","05",3,5.995572281896,0.00113250283125708,0.00227180042913681,"男性 | 20至29歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",3,3.03440417394314,0.00113250283125708,0.00114977526421524,"男性 | 30至39歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","中彰投區","本省閩南人","05","05","05",3,2.62275084076382,0.00113250283125708,0.000993794454544033,"男性 | 40至49歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",3,2.56140229699896,0.00113250283125708,0.00097054869225496,"男性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"男性","50至59歲","專科","雲嘉南區","本省閩南人","05","05","05",3,2.20849150635788,0.00113250283125708,0.000836826197065247,"男性 | 50至59歲 | 專科 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","國、初中","雲嘉南區","本省閩南人","05","05","05",3,2.38436793350647,0.00113250283125708,0.000903468066078767,"男性 | 60歲及以上 | 國、初中 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","小學及以下","高屏區","本省閩南人","00","10","00",3,3.29782330552604,0.00113250283125708,0.00124958820417093,"男性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","中彰投區","本省閩南人","00","10","00",3,2.350435923,0.00113250283125708,0.000890610785337971,"男性 | 60歲及以上 | 高中、職 | 中彰投區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","雲嘉南區","本省閩南人","00","10","00",3,2.02515490429095,0.00113250283125708,0.000767357570607385,"男性 | 60歲及以上 | 高中、職 | 雲嘉南區 | 本省閩南人 | 00 | 10 | 00"
"女性","20至29歲","大學及以上","中彰投區","本省閩南人","05","05","05",2,3.07065552187571,0.000755001887504719,0.00116351137211584,"女性 | 20至29歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",2,2.99883007748248,0.000755001887504719,0.00113629577571845,"女性 | 20至29歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","06",2,2.99883007748248,0.000755001887504719,0.00113629577571845,"女性 | 20至29歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 06"
"女性","20至29歲","大學及以上","高屏區","本省閩南人","05","05","05",2,3.78934304366867,0.000755001887504719,0.00143583143493197,"女性 | 20至29歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","北北基宜蘭區","本省客家人","05","05","05",2,2.45186665572996,0.000755001887504719,0.000929044211091069,"女性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省客家人 | 05 | 05 | 05"
